station_id,StationName,AvailableDocks,TotalDocks,latitude,longitude,StatusValue,StatusKey,AvailableBikes
301,E 2 St & Avenue B,30,58,40.72217444,-73.98368779,In Service,1,28
304,Broadway & Battery Pl,17,33,40.70463334,-74.01361706,In Service,1,14
377,6 Ave & Canal St,21,45,40.72243797,-74.00566443,In Service,1,22
402,Broadway & E 22 St,21,39,40.7403432,-73.98955109,In Service,1,14
438,St Marks Pl & 1 Ave,10,47,40.72779126,-73.98564945,In Service,1,34
3223,E 55 St & 3 Ave,40,53,40.75899656,-73.96865398,In Service,1,13
3233,E 48 St & 5 Ave,29,39,40.75724568,-73.97805914,In Service,1,8
3255,8 Ave & W 31 St,10,19,40.75058535,-73.99468482,In Service,1,6
3443,W 52 St & 6 Ave,4,41,40.76132983,-73.97982001,In Service,1,36
3457,E 58 St & Madison Ave,22,46,40.76302594,-73.97209525,In Service,1,23
72,W 52 St & 11 Ave,40,55,40.76727216,-73.99392888,In Service,1,14
79,Franklin St & W Broadway,11,33,40.71911552,-74.00666661,In Service,1,18
82,St James Pl & Pearl St,0,27,40.71117416,-74.00016545,In Service,1,27
83,Atlantic Ave & Fort Greene Pl,37,62,40.68382604,-73.97632328,In Service,1,22
119,Park Ave & St Edwards St,7,19,40.69608941,-73.97803415,In Service,1,12
120,Lexington Ave & Classon Ave,2,19,40.68676793,-73.95928168,In Service,1,16
127,Barrow St & Hudson St,2,31,40.73172428,-74.00674436,In Service,1,25
128,MacDougal St & Prince St,5,30,40.72710258,-74.00297088,In Service,1,22
143,Clinton St & Joralemon St,0,24,40.69239502,-73.99337909,In Service,1,23
144,Nassau St & Navy St,4,19,40.69839895,-73.98068914,In Service,1,14
146,Hudson St & Reade St,18,39,40.71625008,-74.0091059,In Service,1,18
150,E 2 St & Avenue C,13,54,40.7208736,-73.98085795,In Service,1,39
151,Cleveland Pl & Spring St,19,33,40.72210379,-73.99724901,In Service,1,11
157,Henry St & Atlantic Ave,12,23,40.69089272,-73.99612349,In Service,1,9
161,LaGuardia Pl & W 3 St,7,35,40.72917025,-73.99810231,In Service,1,25
164,E 47 St & 2 Ave,41,47,40.75323098,-73.97032517,In Service,1,5
167,E 39 St & 3 Ave,41,45,40.7489006,-73.97604882,In Service,1,3
168,W 18 St & 6 Ave,13,47,40.73971301,-73.99456405,In Service,1,34
173,Broadway & W 49 St,16,51,40.76068327,-73.98452729,In Service,1,32
